Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O75534	21.09596286518125	20.249751461219546	19.553074244264348	19.738528982733712	19.53387753347326	20.247901064804037	20.38101350603482	NA	NA	20.287375112528792	NA	20.480287597386365
O75643	NA	20.25672305720643	20.176349263061777	20.428257154531266	20.08155922331957	20.431940901099235	19.98868969556552	20.006062804017628	NA	19.835950514636878	20.055413222110296	19.829858753688157
O75663	NA	18.248331892322717	18.13989019126665	18.37236783989988	NA	NA	17.943425068715626	NA	NA	18.15082985693195	NA	17.720343001897067
O75694	NA	16.974702058748125	17.180653630075714	16.92503079777876	NA	NA	NA	NA	NA	NA	NA	16.192258475738498
O75717	NA	16.56440595116751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75746	NA	NA	15.593904720573068	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75791	NA	17.22942712124421	17.931213956608055	16.881397347740155	17.105781743508253	NA	17.25739162404419	NA	NA	17.231874290917098	NA	17.41924615252004
O75792	NA	20.5252615976686	19.626825796347532	20.617862123758226	19.90308226336417	NA	20.016324813344163	NA	NA	22.052936207922023	NA	20.427046293288125
O75794	NA	17.9499940552661	17.99136473982048	17.284931196459226	NA	NA	17.63968065460225	NA	NA	17.646539337621036	NA	17.70886131892925
O75821	NA	18.715547202295376	18.076475182903735	17.910901819050615	NA	NA	18.850732701276897	NA	NA	18.80524581409781	NA	18.426630556698946
O75822	NA	17.66139662729392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75874	NA	19.9317886323398	20.294538673326585	21.59276183802696	19.690462969149262	NA	20.106115811410458	NA	NA	NA	NA	19.8552215269929
O75915	NA	15.71381037212999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75934	NA	16.601520853948188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75937	NA	17.33132626024513	17.878613446765403	NA	18.907777998037666	NA	17.669508890083932	NA	NA	NA	21.32538322119403	NA
O75947	NA	19.4479791454036	19.295891043249704	19.165146130896755	NA	19.683721778415052	19.456455449048043	NA	NA	18.981511000797333	NA	19.35033971446543
O75964	NA	19.208659845493028	19.36691145863045	19.12890933394998	18.463644973400427	18.484298980355867	18.74320652129297	NA	NA	18.589989333924194	18.519369657254927	19.000435718463386
